Make,Model,BatterySizekWH,AccelerationSEC,TopSpeedKMPH,RangeKM,EfficiencyWHPKM,FastChargeSpeedKMPH,Drive,NumberofSeats,PriceinGermanyEuro,PriceinUKPounds
VinFast, VF 8 Plus Extended Range,87.7 ,5.5 ,200 ,425 ,206 ,550 ,All Wheel Drive,5,72500,
VinFast, VF 9 Standard Range,92 ,6.5 ,200 ,400 ,230 ,540 ,All Wheel Drive,7,82250,
VinFast, VF 9 Extended Range,123 ,6.5 ,200 ,520 ,237 ,520 ,All Wheel Drive,7,89800,
Jaguar, I-Pace EV400,84.7 ,4.8 ,200 ,380 ,223 ,360 ,All Wheel Drive,5,92400,69995
Dacia, Spring Electric 65 Extreme,25 ,13.7 ,125 ,160 ,156 ,170 ,Front Wheel Drive,4,24550,
ORA, Funky Cat 63 kWh,59.3 ,8.2 ,160 ,340 ,174 ,240 ,Front Wheel Drive,5,44490,
ORA, Funky Cat GT,59.3 ,8.2 ,160 ,330 ,180 ,230 ,Front Wheel Drive,5,49490,
Jeep, Avenger Electric ,50.8 ,9.0 ,150 ,300 ,169 ,480 ,Front Wheel Drive,5,37000,34800
Polestar, 2 Standard Range Single Motor,67 ,6.4 ,205 ,385 ,174 ,620 ,Rear Wheel Drive,5,50775,44950
Polestar, 2 Long Range Single Motor,78 ,6.2 ,205 ,440 ,177 ,680 ,Rear Wheel Drive,5,54475,48950
Polestar, 2 Long Range Dual Motor,78 ,4.5 ,205 ,420 ,186 ,650 ,All Wheel Drive,5,58775,52950
Polestar, 2 Long Range Performance,78 ,4.2 ,205 ,410 ,190 ,630 ,All Wheel Drive,5,65275,57950
XPENG, P7 RWD Long Range,82.7 ,6.7 ,200 ,500 ,165 ,700 ,Rear Wheel Drive,5,,
XPENG, P7 AWD Performance,82.7 ,4.1 ,200 ,470 ,176 ,650 ,All Wheel Drive,5,,
XPENG, P7 Wing Edition,82.7 ,4.1 ,200 ,465 ,178 ,650 ,All Wheel Drive,5,,
XPENG, G9 RWD Standard Range,75 ,6.4 ,200 ,375 ,200 ,780 ,Rear Wheel Drive,5,,
XPENG, G9 RWD Long Range,94 ,6.4 ,200 ,470 ,200 ,980 ,Rear Wheel Drive,5,,
XPENG, G9 AWD Long Range,94 ,3.9 ,200 ,440 ,214 ,920 ,All Wheel Drive,5,,
Mini, Cooper SE Convertible,28.9 ,8.2 ,150 ,170 ,170 ,240 ,Front Wheel Drive,4,60000,52500
Volkswagen, ID.4 GTX,77 ,6.3 ,180 ,400 ,193 ,560 ,All Wheel Drive,5,53255,52865
Hyundai, Kona Electric 48 kWh,48.4 ,10.0 ,155 ,300 ,161 ,290 ,Front Wheel Drive,5,40000,35000
Hyundai, Kona Electric 65 kWh,65.4 ,8.0 ,167 ,400 ,164 ,410 ,Front Wheel Drive,5,48000,40000
Volkswagen, ID.3 Pro,58 ,7.3 ,160 ,350 ,166 ,450 ,Rear Wheel Drive,5,39995,35000
Volkswagen, ID.3 Pro S - 4 Seats,77 ,7.9 ,160 ,455 ,169 ,680 ,Rear Wheel Drive,4,47595,43000
